year,gdp_growth_lag1,inflation_lag1,forex_import_cover_lag1,remittance_pct_gdp_lag1,remittance_growth_lag1,india_gdp_growth_lag1,india_gdp_growth_lag2,india_inflation_lag1,current_account_lag1,gdp_growth_roll3_std,gdp_growth_roll3_mean,forex_roll3_mean,inflation_roll3_mean,remittance_roll3_mean,nepal_india_inflation_spread_lag1,forex_rapid_decline_lag1,crisis,triggers_fired
1998,5.04861254517328,4.00998860523181,4.13729042628426,1.00551241513623,11.997093957367545,4.04982084998183,7.54952224920051,7.16425211462724,-7.89001512904615,1.0028376425663228,4.6151162044521294,4.354653436921777,6.9511415786611,1.0910883510907976,-3.15426350939543,0,1,2
1999,3.01638947539399,11.2444677818614,6.56961462358199,1.39006090699173,36.489190650174976,6.18441582172117,4.04982084998183,13.2308389767977,-1.38366225352984,1.2618111274665742,4.464428731884783,4.988043651712843,8.15830767028769,1.1240752610085043,-1.9863711949363,0,0,1
2000,4.41257328041399,7.45111260957546,6.15144721774418,1.65809912429702,23.63958273534585,8.84575555939531,6.18441582172117,4.66982038037594,-1.56303865698338,1.0395356149950503,4.159191766993754,5.619450755870143,7.568522998889557,1.3512241488083268,2.7812922291995195,0,0,1
2001,6.19999998192236,2.47882020709136,6.49127474402048,2.02936064424625,33.590316083369665,3.84099115659129,8.84575555939531,4.0094359104519,-2.37793695824869,1.595806968691339,4.542987579243447,6.404112195115549,7.0581335328427395,1.6925068918450001,-1.5306157033605405,0,0,0
2002,4.79989214255407,2.6883037354563,7.36659055227129,2.4468753962689,31.827385921730755,4.82396626555771,3.84099115659129,3.77929312235637,-2.74157105052742,0.9403201649877128,5.137488468296807,6.669770838011982,4.206078850707707,2.0447783882707236,-1.0909893869000697,0,0,1
2004,3.94503776051116,5.70700931874738,7.71309551906274,12.1803238824978,13.64600731902621,7.8603814759073,3.80397532112175,3.80585899528851,2.84759408801275,2.492008726703283,2.9550243601448813,7.495725252553224,3.8082375137841997,8.613406302852534,1.9011503234588698,0,0,0
2005,4.68260325152944,2.8418113124898,7.73890770780445,11.3089899806632,6.683788324098927,7.92293661199932,7.8603814759073,3.76725173477515,1.37422203617593,2.4491448628039008,2.9159280631366715,7.619830971064277,3.8594067061287,11.567444497650634,-0.9254404222853498,0,0,1
2006,3.47918104829496,6.83633265892877,6.70143423450661,14.9051013655231,47.314619519927504,7.92343062148318,7.92293661199932,4.24634362031922,1.88302388576204,0.6068017700885612,4.035607353445187,7.384479153791266,5.128384430055316,12.798138409561368,2.5899890386095494,0,0,0
2007,3.36461478056277,6.92033580707589,7.66549847116562,16.0689646788639,19.921071260927214,8.06073257166651,7.92343062148318,5.79652337561634,1.65950180353451,0.7301191727543397,3.842133026795724,7.368613471158892,5.532826592831487,14.094352008350066,1.12381243145955,0,0,1
2008,3.41156027980276,2.26921924439074,6.45735169197997,16.7918134796819,19.31055762005398,7.6608150670107,8.06073257166651,6.37288135593231,0.0548101106677199,0.05759322577708823,3.418452036220163,6.941428132550733,5.341962570131801,15.9219598413563,-4.10366211154157,0,1,2
2009,6.10463914373472,9.9078300530648,6.61958299342483,21.7381039679629,57.28737142071567,3.08669805921981,7.6608150670107,8.34926704907581,5.84548564127574,1.5685774424634895,4.293604734700083,6.914144385523474,6.36579503484381,18.1996273755029,1.55856300398899,0,1,2
