year,gdp_growth,inflation_yoy,forex_import_cover,remittance_pct_gdp,remittance_growth_yoy,india_gdp_growth,india_inflation,current_account_pct_gdp,t1_gdp,t2_forex,t3_inflation,t4_remittance,t5_current_account,triggers_fired,crisis
1995,3.46845189309603,7.62296950698163,4.66944397920879,1.29110017723861,,7.57449183788519,10.2248861637544,-8.09774068768955,0,1,0,0,0,1,0
1996,5.32828417508708,9.22046662376986,4.25722590527228,0.976652460897553,-22.284312849904918,7.54952224920051,8.97715233826453,-7.22314976747943,0,1,1,1,0,3,1
1997,5.04861254517328,4.00998860523181,4.13729042628426,1.00551241513623,11.997093957367543,4.04982084998183,7.16425211462724,-7.89001512904615,0,1,0,0,0,1,0
1998,3.01638947539399,11.2444677818614,6.56961462358199,1.39006090699173,36.489190650174976,6.18441582172117,13.2308389767977,-1.38366225352984,0,1,1,0,0,2,1
1999,4.41257328041399,7.45111260957546,6.15144721774418,1.65809912429702,23.639582735345854,8.84575555939531,4.66982038037594,-1.56303865698338,0,1,0,0,0,1,0
2000,6.19999998192236,2.47882020709136,6.49127474402048,2.02936064424625,33.590316083369665,3.84099115659129,4.0094359104519,-2.37793695824869,0,1,0,0,0,1,0
2001,4.79989214255407,2.6883037354563,7.36659055227129,2.4468753962689,31.827385921730755,4.82396626555771,3.77929312235637,-2.74157105052742,0,0,0,0,0,0,0
2002,0.120143177369414,3.02939948714892,7.40748968632564,11.2130196297909,,3.80397532112175,4.29715203929563,3.55629677532073,1,0,0,0,0,1,0
2003,3.94503776051116,5.70700931874738,7.71309551906274,12.1803238824978,13.64600731902621,7.8603814759073,3.80585899528851,2.84759408801275,0,0,0,0,0,0,0
2004,4.68260325152944,2.8418113124898,7.73890770780445,11.3089899806632,6.683788324098927,7.92293661199932,3.76725173477515,1.37422203617593,0,0,0,0,0,0,0
2005,3.47918104829496,6.83633265892877,6.70143423450661,14.9051013655231,47.314619519927504,7.92343062148318,4.24634362031922,1.88302388576204,0,1,0,0,0,1,0
2006,3.36461478056277,6.92033580707589,7.66549847116562,16.0689646788639,19.921071260927214,8.06073257166651,5.79652337561634,1.65950180353451,0,0,0,0,0,0,0
2007,3.41156027980276,2.26921924439074,6.45735169197997,16.7918134796819,19.31055762005398,7.6608150670107,6.37288135593231,0.0548101106677199,0,1,0,0,0,1,0
2008,6.10463914373472,9.9078300530648,6.61958299342483,21.7381039679629,57.28737142071567,3.08669805921981,8.34926704907581,5.84548564127574,0,1,1,0,0,2,1
2009,4.5330787246486,11.0948237386987,6.56536255889742,23.2076254422303,9.394323140786254,7.86188883286074,10.8823529411764,0.166582495866466,0,1,1,0,0,2,1
2010,4.81641464694573,9.32650410745395,6.01052214363674,21.6469852746313,16.114700570552067,8.49758470221235,11.9893899204244,-0.797465992929109,0,1,1,0,0,2,1
2011,3.42180870116162,9.2270754612596,6.74453820987915,19.5463008559418,21.731558501180537,5.24131619937695,8.91179336483371,1.33775079697372,0,1,1,0,0,2,1
2012,4.67014192446953,9.45980980357125,7.60892634309321,22.0821265457679,13.650146034079302,5.45638755166587,9.47899691419801,2.66070688066426,0,0,1,0,0,1,0
2013,3.52515317129149,9.04016311917645,8.56836277441355,25.1947048897919,16.509022518658114,6.38610640094825,10.0178784746102,5.23137372695533,0,0,1,0,0,1,0
2014,6.01148284250441,8.36415469659563,8.43501141324674,25.9051136185799,5.46139496756235,7.41022760508854,6.66565671867899,2.18298241690426,0,0,1,0,0,1,0
2015,3.3,7.86890895590891,12.5337607363716,27.6260850017638,14.286559629848995,7.99625378571471,4.90697344127256,10.0433083922087,0,0,0,0,0,0,0
2016,0.433113719381524,9.9,10.2885647962682,26.9605652689538,-1.7548032022294047,8.25630550179086,4.94821634062141,-0.68434663855188,1,0,1,0,0,2,1
2017,8.97727935643466,2.77703998300211,9.35380252386613,23.9135443394186,4.783771125831238,6.79538341897911,3.32817337461298,-3.56432924017776,0,0,0,0,0,0,0
2018,7.62237610397935,4.40659410175714,6.61464333893592,25.0264204285432,19.60839375702539,6.45385134497769,3.9388264669163,-8.30080510271615,0,1,0,0,0,1,0
2019,6.65705543110467,5.56616035243723,7.45868343240894,24.1163701264819,-0.5088153945461804,3.87143694070356,3.72950573539129,-5.12963069016165,0,0,0,0,0,0,0
2020,-2.3696206292072,5.05635826238499,11.8,24.2502461023191,-1.6583391827450389,-6.6,6.62343677628535,-0.251653542060189,1,0,0,0,0,1,0
2021,4.838149614115,4.12676744440695,6.7229827208626,22.2775786274327,1.4580616192616747,8.9,5.13140747176369,-12.8,0,1,0,0,1,2,1
2022,5.6313145568451,8.56,7.11844228100777,22.8532966744987,14.41410739556257,7.60936497768895,6.69903414079852,-5.76692961945292,0,0,1,0,0,1,0
2023,1.98254843628392,7.74,10.4169326092974,26.2241089254704,14.37316320896478,9.19075493028345,5.64914318907925,2.45049491475997,1,0,0,0,0,1,0
2024,3.66537430744967,4.6850965426577,12.0,26.2254579224946,4.55250895889876,6.49476552383821,4.95303550973656,3.91279159341445,0,0,0,0,0,0,0
